Time,Correct Angle,Correct Angle Rate,Predicted Angle,Predicted Angle Rate
0,0.178024,0.174533,0.165626,8.28131
0.02,0.181514,0.174533,0.17744,0.590665
0.04,0.185005,0.174533,0.198833,1.06967
0.06,0.188496,0.174533,0.189019,-0.490709
0.08,0.191986,0.174533,0.182945,-0.3037
0.1,0.195477,0.174533,0.214183,1.56193
0.12,0.198968,0.174533,0.182363,-1.59101
0.14,0.202458,0.174533,0.195577,0.660707
0.16,0.205949,0.174533,0.206706,0.556434
0.18,0.20944,0.174533,0.224173,0.873366
0.2,0.21293,0.174533,0.213902,-0.513551
0.22,0.216421,0.174533,0.207497,-0.320263
0.24,0.219911,0.174533,0.217624,0.506327
0.26,0.223402,0.174533,0.235051,0.87139
0.28,0.226893,0.174533,0.232742,-0.115484
0.3,0.230383,0.174533,0.223778,-0.448195
0.32,0.233874,0.174533,0.239222,0.772189
0.34,0.237365,0.174533,0.231287,-0.396738
0.36,0.240855,0.174533,0.248314,0.851372
0.38,0.244346,0.174533,0.226828,-1.0743
0.4,0.247837,0.174533,0.238185,0.567844
0.42,0.251327,0.174533,0.246585,0.419965
0.44,0.254818,0.174533,0.249352,0.138388
0.46,0.258309,0.174533,0.257924,0.428573
0.48,0.261799,0.174533,0.263749,0.291252
0.5,0.26529,0.174533,0.260439,-0.165513
0.52,0.268781,0.174533,0.265078,0.23197
0.54,0.272271,0.174533,0.261031,-0.202371
0.56,0.275762,0.174533,0.293128,1.60489
0.58,0.279253,0.174533,0.288075,-0.252688
0.6,0.282743,0.174533,0.267715,-1.01796
0.62,0.286234,0.174533,0.291942,1.21131
0.64,0.289725,0.174533,0.280425,-0.575817
0.66,0.293215,0.174533,0.283865,0.17201
0.68,0.296706,0.174533,0.289059,0.259689
0.7,0.300197,0.174533,0.302705,0.682298
0.72,0.303687,0.174533,0.301806,-0.0449764
0.74,0.307178,0.174533,0.292046,-0.48796
0.76,0.310669,0.174533,0.323894,1.59239
0.78,0.314159,0.174533,0.333506,0.480594
0.8,0.31765,0.174533,0.330174,-0.166587
0.82,0.321141,0.174533,0.331558,0.0691639
0.84,0.324631,0.174533,0.317662,-0.694801
0.86,0.328122,0.174533,0.333493,0.791567
0.88,0.331613,0.174533,0.338561,0.253389
0.9,0.335103,0.174533,0.340516,0.0977404
0.92,0.338594,0.174533,0.318905,-1.08051
0.94,0.342085,0.174533,0.345626,1.33605
0.96,0.345575,0.174533,0.341023,-0.230187
0.98,0.349066,0.174533,0.352846,0.591161
1,0.352557,0.174533,0.349816,-0.151498
1.02,0.356047,0.174533,0.356103,0.314375
1.04,0.359538,0.174533,0.341809,-0.714707
1.06,0.363028,0.174533,0.368225,1.32081
1.08,0.366519,0.174533,0.366951,-0.0637158
1.1,0.37001,0.174533,0.350343,-0.830406
1.12,0.3735,0.174533,0.368693,0.917507
1.14,0.376991,0.174533,0.358627,-0.503302
1.16,0.380482,0.174533,0.377903,0.963811
1.18,0.383972,0.174533,0.380055,0.10759
1.2,0.387463,0.174533,0.414422,1.71834
1.22,0.390954,0.174533,0.407539,-0.344157
1.24,0.394444,0.174533,0.383068,-1.22356
1.26,0.397935,0.174533,0.385732,0.133242
1.28,0.401426,0.174533,0.402537,0.840246
1.3,0.404916,0.174533,0.398187,-0.217509
1.32,0.408407,0.174533,0.394426,-0.18807
1.34,0.411898,0.174533,0.407123,0.63487
1.36,0.415388,0.174533,0.42182,0.734827
1.38,0.418879,0.174533,0.432631,0.540566
1.4,0.42237,0.174533,0.409781,-1.14251
1.42,0.42586,0.174533,0.428455,0.93372
1.44,0.429351,0.174533,0.413104,-0.767557
1.46,0.432842,0.174533,0.422872,0.48841
1.48,0.436332,0.174533,0.43484,0.598368
1.5,0.439823,0.174533,0.426485,-0.417731
1.52,0.443314,0.174533,0.428878,0.119676
1.54,0.446804,0.174533,0.453385,1.22532
1.56,0.450295,0.174533,0.447075,-0.315515
1.58,0.453786,0.174533,0.449979,0.145241
1.6,0.457276,0.174533,0.463212,0.661627
1.62,0.460767,0.174533,0.471346,0.406727
1.64,0.464258,0.174533,0.45213,-0.960822
1.66,0.467748,0.174533,0.466741,0.730561
1.68,0.471239,0.174533,0.475926,0.459233
1.7,0.47473,0.174533,0.48292,0.349728
1.72,0.47822,0.174533,0.476342,-0.328948
1.74,0.481711,0.174533,0.48148,0.256943
1.76,0.485202,0.174533,0.482174,0.034667
1.78,0.488692,0.174533,0.478699,-0.173758
1.8,0.492183,0.174533,0.475902,-0.139822
1.82,0.495674,0.174533,0.493167,0.863241
1.84,0.499164,0.174533,0.505752,0.629262
1.86,0.502655,0.174533,0.49292,-0.641597
1.88,0.506145,0.174533,0.494127,0.060348
1.9,0.509636,0.174533,0.505642,0.57572
1.92,0.513127,0.174533,0.505856,0.010731
1.94,0.516617,0.174533,0.521003,0.757327
1.96,0.520108,0.174533,0.515813,-0.259502
1.98,0.523599,0.174533,0.501502,-0.71553
2,0.527089,0.174533,0.514833,0.666522
2.02,0.53058,0.174533,0.537926,1.1547
2.04,0.534071,0.174533,0.540811,0.144213
2.06,0.537561,0.174533,0.53475,-0.303047
2.08,0.541052,0.174533,0.529107,-0.282139
2.1,0.544543,0.174533,0.555235,1.30637
2.12,0.548033,0.174533,0.535918,-0.965809
2.14,0.551524,0.174533,0.529577,-0.317063
2.16,0.555015,0.174533,0.561819,1.61211
2.18,0.558505,0.174533,0.572569,0.537467
2.2,0.561996,0.174533,0.558819,-0.687499
2.22,0.565487,0.174533,0.566722,0.395187
2.24,0.568977,0.174533,0.565273,-0.0724913
2.26,0.572468,0.174533,0.572735,0.373105
2.28,0.575959,0.174533,0.581888,0.457645
2.3,0.579449,0.174533,0.577799,-0.204419
2.32,0.58294,0.174533,0.582046,0.212367
2.34,0.586431,0.174533,0.606852,1.24028
2.36,0.589921,0.174533,0.591927,-0.746269
2.38,0.593412,0.174533,0.59619,0.213166
2.4,0.596903,0.174533,0.608551,0.618028
2.42,0.600393,0.174533,0.591239,-0.865554
2.44,0.603884,0.174533,0.598216,0.348803
2.46,0.607375,0.174533,0.603175,0.247988
2.48,0.610865,0.174533,0.604328,0.0576484
2.5,0.614356,0.174533,0.6079,0.178595
2.52,0.617847,0.174533,0.62256,0.73297
2.54,0.621337,0.174533,0.636579,0.700955
2.56,0.624828,0.174533,0.628044,-0.426741
2.58,0.628319,0.174533,0.624257,-0.189351
2.6,0.631809,0.174533,0.617693,-0.328166
2.62,0.6353,0.174533,0.620369,0.133764
2.64,0.638791,0.174533,0.625149,0.239032
2.66,0.642281,0.174533,0.652386,1.36181
2.68,0.645772,0.174533,0.651656,-0.0365054
2.7,0.649262,0.174533,0.654419,0.138165
2.72,0.652753,0.174533,0.653979,-0.0219962
2.74,0.656244,0.174533,0.641621,-0.617907
2.76,0.659734,0.174533,0.673232,1.58055
2.78,0.663225,0.174533,0.67728,0.202432
2.8,0.666716,0.174533,0.678148,0.0433977
2.82,0.670206,0.174533,0.678836,0.0343633
2.84,0.673697,0.174533,0.6696,-0.461763
2.86,0.677188,0.174533,0.683474,0.693678
2.88,0.680678,0.174533,0.695558,0.604208
2.9,0.684169,0.174533,0.697003,0.0722608
2.92,0.68766,0.174533,0.705321,0.415891
2.94,0.69115,0.174533,0.703702,-0.0809837
2.96,0.694641,0.174533,0.698505,-0.259831
2.98,0.698132,0.174533,0.699088,0.0291563
3,0.701622,0.174533,0.695654,-0.171723
3.02,0.705113,0.174533,0.727885,1.61156
3.04,0.708604,0.174533,0.707112,-1.03866
3.06,0.712094,0.174533,0.710531,0.17097
3.08,0.715585,0.174533,0.71045,-0.0040501
3.1,0.719076,0.174533,0.699533,-0.545866
3.12,0.722566,0.174533,0.723003,1.17349
3.14,0.726057,0.174533,0.714925,-0.403858
3.16,0.729548,0.174533,0.72544,0.525724
3.18,0.733038,0.174533,0.720007,-0.271632
3.2,0.736529,0.174533,0.728453,0.42229
3.22,0.74002,0.174533,0.753195,1.2371
3.24,0.74351,0.174533,0.756451,0.162816
3.26,0.747001,0.174533,0.7322,-1.21257
